Island,Species,Beak length,Sample size,SD,Beak width,SD,CI Beak length,CI Beak depth
Floreana,fortis,11.26,278,0.9,9.56,1.05,,
Santa Cruz,fortis,11.66,159,0.87,9.96,0.98,,
Santiago,fortis,11.16,85,0.63,9.56,0.66,,
R‡bida,fortis,11.27,11,0.47,9.84,0.45,,
Isabela,fortis,11.55,198,1.03,9.92,1.06,,
Marchena,fortis,11.36,44,0.53,9.17,0.46,,
Pinta,fortis,10.93,59,0.61,9.04,0.64,,
Daphne,fortis,10.26,31,0.58,8.17,0.53,0.21,0.19
San Crist—bal,fortis,11.96,134,0.75,10.21,0.93,,
Baltra,fortis,11.22,25,0.69,9.62,0.76,,
Pinz—n,fortis,10.68,39,0.78,8.73,0.93,0.25,0.3
Fernandina,fortis,11.24,14,0.38,9.36,0.34,,
,,,,,,,,
 ,,,,,,,,
 , ,,,,,,,
 , ,,,,,,,
