Offspring bands,species,Mid-offspr,maleband,Male BD,femband,Female BD,Mid-parent,,,
1091,fortis,10.7,280,10.9,528,9.3,10.1,, , 
3234.3,fortis,9.78,282,10.7,1527,8.4,9.55,, , 
4928,fortis,9.48,282,10.7,2245,8.1,9.4,, , 
10751,fortis,9.6,282,10.7,2447,9.8,10.25,, ,
4947,fortis,10.27,316,9.85,2439,10.4,10.13,,,
1205,fortis,9.5,355,9.8,1698,9.6,9.7,,,
1729,fortis,9,405,9.9,1769,8.2,9.05,,,
4490,fortis,7.46,459,9.3,6,5.5,7.4,,,
1075,fortis,7.65,502,9.4,1550,8.6,9,,,
3677.4,fortis,8.63,502,9.4,2103,7.9,8.65,,,
8013.5,fortis,9.81,502,9.4,4923,9.85,9.63,,,
1261,fortis,9.4,517,10.1,628,9.7,9.9,,,
4957.5,fortis,9.48,517,10.1,3890,9,9.55,,,
1257,fortis,8.75,519,8.3,461,9.8,9.05,,,
1602.5,fortis,7.6,565,8.7,814,8,8.35,,,
6546,fortis,10,624,10.1,1546,10.1,10.1,,,
2631.5,fortis,10.09,673,10.1,1546,10.1,10.1,,,
2495,fortis,9.74,676,9.7,1546,10.1,9.9,,,
3409,fortis,9.64,678,9.7,1774,10.75,10.23,,,
13540,fortis,8.49,714,11.8,1944,8.2,10,,,
6765,fortis,10.15,714,10.4,3783,10.7,10.55,,,
6549.3,fortis,10.28,720,10.5,1667,10.4,10.45,,,
8386,fortis,9.2,785,10.3,2245,8.1,9.2,,,
5065.5,fortis,10.01,785,10.3,2447,10.1,10.2,,,
4626,fortis,9.03,825,8.6,2588,9.3,8.95,,,
4912.5,fortis,9.94,929,9.5,2792,10.6,10.05,,,
9638,fortis,10.5,930,10,2439,10.4,10.2,,,
4971.5,fortis,9.7,930,10,2598,9,9.5,,,
2744,fortis,10.02,943,9.1,1774,10.75,9.93,,,
3078,fortis,10.04,1019,11.2,8017,8.7,9.95,,,
8414.9,fortis,9.43,1264,10,1692,10.1,10.05,,,
1068,fortis,8.1,1363,9.6,1486,7.9,8.75,,,
1213,fortis,9.5,1371,10.3,1434,8.1,9.2,,,
1119,fortis,9.9,1379,10.5,611,9.8,10.15,,,
2738,fortis,9.48,1433,11,1536,8.6,9.8,,,
4220.2,fortis,10.18,1433,11,2974,10.4,10.7,,,
13573.5,fortis,10.16,1433,11,4669,10,10.5,,,
2497,fortis,9.08,1448,9,2887,10.1,9.55,,,
5813,fortis,10.39,1469,10.6,2434,10.5,10.55,,,
14615.8,fortis,9.9,1469,10.6,2753,10.35,10.48,,,
1070,fortis,8.4,1487,8.1,1844,9.2,8.65,,,
10836,fortis,10.6,1493,10.2,4986,11.2,10.7,,,
1196,fortis,8.75,1494,8.6,1581,9.6,9.1,,,
5194.2,fortis,9.46,1551,9.4,2658,9.4,9.4,,,
1916,fortis,9.6,1557,10.3,1647,10.3,10.3,,,
13075,fortis,9.6,1557,10.3,3890,9,9.65,,,
6825,fortis,9.95,1557,10.3,8398,8.7,9.5,,,
4673,fortis,10.05,1559,9.9,2640,9.5,9.7,,,
3161.7,fortis,10.16,1560,10.3,1774,10.75,10.53,,,
4669.3,fortis,10.1,1561,10.6,1770,9.3,9.95,,,
5798,fortis,9.83,1561,10.6,4178,9.6,10.1,,,
5053,fortis,9.46,1568,9.5,2776,10,9.75,,,
1050,fortis,9.7,1580,10.4,420,9.7,10.05,,,
3238.3,fortis,9.82,1580,10.4,1402,9.4,9.9,,,
5677,fortis,10.34,1582,10,2587,10,10,,,
13693,fortis,8.02,1582,10,10313,8.2,9.1,,,
2692,fortis,9.65,1583,9.1,354,9.8,9.45,,,
5816,fortis,9.87,1583,9.1,1402,9.4,9.25,,,
1513,fortis,9,1588,9.9,1037,9.1,9.5,,,
4290,fortis,11.14,1588,9.9,1692,10.1,10,,,
4865.5,fortis,9.25,1598,10.1,1591,10.95,10.53,,,
10435.5,fortis,8.14,1598,10.1,2495,9.7,9.9,,,
2734.2,fortis,10.23,1599,10.7,1692,10.1,10.4,,,
1173,fortis,8.7,1657,9.3,1585,8.6,8.95,,,
5026,fortis,9.8,1699,8.3,2434,10.5,9.4,,,
6014.3,fortis,10.54,1738,11.4,4177,10.5,10.95,,,
13396,fortis,11.19,1738,11.4,5030,10.1,10.75,,,
13781,fortis,9.85,1738,11.4,5872,8.8,10.1,,,
1825,fortis,8.1,1755,8.1,342,8,8.05,,,
1082.5,fortis,9.3,1755,8.1,1546,10.1,9.1,,,
4860,fortis,9.34,1797,9.3,2795,9.8,9.55,,,
2948.2,fortis,9.19,1797,9.3,2940,8.8,9.05,,,
9690.3,fortis,9.52,1833,11.2,4176,9.2,10.2,,,
9056,fortis,9.36,1840,10.8,2833,9.2,10,,,
14053,fortis,8.8,1840,10.8,5398,10.3,10.55,,,
1145,fortis,8.6,1847,11.1,1850,10.4,10.75,,,
1911,fortis,8,1853,8.6,1380,7.75,8.18,,,
1620,fortis,8.5,1860,9.4,1382,10,9.7,,,
1606,fortis,8.3,1883,9,1886,8.6,8.8,,,
6767.3,fortis,10.38,1929,11.3,2653,10.2,10.75,,,
5597,fortis,8.54,1967,8.9,2495,9.7,9.3,,,
4220,fortis,8.94,1992,9.8,2863,9.6,9.7,,,
5053,fortis,10,1992,9.8,4188,9.4,9.6,,,
5004,fortis,9.76,2372,9.9,2863,9.6,9.75,,,
3066.3,fortis,9.45,2378,9.9,1770,9.3,9.6,,,
13233,fortis,9.89,2483,11.6,2588,9.3,10.45,,,
4922.5,fortis,10.9,2483,11.6,2843,10.4,11,,,
14454.5,fortis,9.91,2483,11.6,5030,10.1,10.85,,,
8099.5,fortis,9.39,2483,11.6,8017,8.7,10.15,,,
5726.5,fortis,9.86,2493,10.9,2641,9.8,10.35,,,
12371.8,fortis,9.74,2536,10.8,2776,10,10.4,,,
4863,fortis,9.9,2536,10.8,4281,9.1,9.95,,,
2753.7,fortis,9.09,2546,10.1,2245,8.1,9.1,,,
10017,fortis,9.69,2549,10.1,5030,10.1,10.1,,,
5818.7,fortis,10.24,2551,9.2,4576,10.5,9.85,,,
14023,fortis,8.9,2639,8.95,5844,10.3,9.63,,,
15131.4,fortis,9.67,2639,8.95,13231,10,9.48,,,
7169,fortis,8.93,2642,9.3,2632,8.7,9,,,
4936.5,fortis,9.3,2642,9.3,2833,9.2,9.25,,,
13882.5,fortis,8.67,2642,9.3,5871,8.9,9.1,,,
4931,fortis,9.15,2648,10.3,1944,8.2,9.25,,,
4715.5,fortis,9.23,2657,9.7,2632,8.7,9.2,,,
10790,fortis,9.59,2657,9.7,4179,10.2,9.95,,,
4828.3,fortis,9.03,2663,10.1,9,7.2,8.65,,,
9602.8,fortis,9.58,2663,10.1,4010,9.5,9.8,,,
10785.4,fortis,8.97,2666,9.3,3367,9.5,9.4,,,
15694.6,fortis,8.57,2666,9.3,4715,8.7,9,,,
13576,fortis,8.47,2737,9.2,13411,7.9,8.55,,,
14994.6,fortis,8.71,2737,9.2,13539,8.3,8.75,,,
10287.3,fortis,9.21,2738,9.3,2587,10,9.65,,,
15152.4,fortis,9.13,2738,9.3,5556,8.6,8.95,,,
10760,fortis,8.5,2739,9.9,4830,8.4,9.15,,,
6754,fortis,9.58,2743,10.85,2755,8.85,9.85,,,
13837.5,fortis,9.21,2743,10.85,2863,9.6,10.23,,,
15346,fortis,9.6,2743,10.85,14535,8.8,9.83,,,
15400,fortis,9.32,2749,8.8,4986,11.2,10,,,
4977.5,fortis,8.7,2750,10.45,2730,8.4,9.43,,,
4985.5,fortis,10.46,2775,10.8,4385,10,10.4,,,
13421.3,fortis,9.29,2799,9,1774,10.75,9.88,,,
5785,fortis,9.24,2799,9,4228,8.9,8.95,,,
4951,fortis,9.45,2799,9,4261,8.8,8.9,,,
11790.6,fortis,9.35,2842,9.8,2496,8.9,9.35,,,
5739,fortis,10.19,2845,9.55,4986,11.3,10.43,,,
5349.5,fortis,9.91,2846,10,2446,10,10,,,
15231.8,fortis,9.18,2847,9.6,1774,10.75,10.18,,,
12349,fortis,9.89,2847,9.6,4758,10.15,9.88,,,
14497,fortis,9.6,2847,9.6,5960,10.15,9.88,,,
5060,fortis,10.3,2861,8.9,1402,9.4,9.15,,,
9181.6,fortis,9.45,2862,9.5,4734,9.4,9.45,,,
15246.5,fortis,8.79,2862,9.5,5685,8.55,9.03,,,
15125,fortis,9.2,2862,9.5,13975,9.9,9.7,,,
4840,fortis,8.8,2955,9.9,4010,9.5,9.7,,,
4826.2,fortis,9.69,2984,10.3,1866,9.8,10.05,,,
15688,fortis,10.61,2984,10.3,10658,10.3,10.3,,,
13998,fortis,9.6,3200,9.6,10751,9.6,9.6,,,
11486,fortis,9.9,3393,10.6,3976,9.4,10,,,
15200.6,fortis,9.26,3393,10.6,5554,9,9.8,,,
8006,fortis,10.2,3409,9.6,4659,10.5,10.05,,,
10529,fortis,8.79,3430,8.6,5067,8.9,8.75,,,
14907.8,fortis,9.28,3527,11.8,2537,9.3,10.55,,,
4894.3,fortis,8.83,3533,10.8,1536,8.6,9.7,,,
5715.3,fortis,9.76,3533,10.8,2833,9.2,10,,,
5560,fortis,10.2,3569,9.7,4669,10,9.85,,,
15063.2,fortis,9.43,3569,9.7,5570,9.9,9.8,,,
14171,fortis,9.4,3569,9.7,5717,8.65,9.18,,,
10678,fortis,9.9,3589,9.7,4178,9.6,9.65,,,
6375.2,fortis,9.5,3590,9.8,2537,9.3,9.55,,,
14478,fortis,8.95,3590,9.8,3773,10,9.9,,,
13756.5,fortis,9.98,3597,12.7,2843,10.4,11.55,,,
15397.4,fortis,9.72,3597,12.7,5625,9.9,11.3,,,
13615.4,fortis,9.86,3612,11.4,2658,9.4,10.4,,,
10139,fortis,11.1,3612,11.4,4179,10.2,10.8,,,
4281,fortis,9.14,3641,11.4,1944,8.2,9.8,,,
2849.2,fortis,10.49,3642,10.3,1426,10.6,10.45,,,
4803,fortis,9.75,3665,10.4,1698,9.6,10,,,
8934.2,fortis,10.35,3806,11.1,2243,10.4,10.75,,,
4739,fortis,9.73,4030,8.8,4190,9.9,9.35,,,
5208.5,fortis,9.83,4043,11.5,3773,10,10.75,,,
8202.8,fortis,8.69,4053,9.75,1536,8.6,9.18,,,
5505.3,fortis,9.58,4057,8.9,2843,10.4,9.65,,,
12148,fortis,8.42,4057,8.9,8398,8.7,8.8,,,
4785,fortis,9.25,4092,10.9,4032,10.2,10.55,,,
8881.6,fortis,10.12,4092,10.9,4993,10.45,10.68,,,
5774.3,fortis,9.31,4157,10.6,2588,9.3,9.95,,,
5546.5,fortis,9.99,4229,8.6,2434,10.5,9.55,,,
15426.4,fortis,8.59,4229,8.6,5587,9.05,8.83,,,
5602,fortis,8.74,4235,10.4,3890,9,9.7,,,
10347,fortis,8.79,4325,9.8,4190,9.9,9.85,,,
14492,fortis,9.6,4349,9.6,5528,10,9.8,,,
4728.3,fortis,9.52,4361,9.4,2495,9.7,9.55,,,
9259.1,fortis,8.93,4661,9.85,4715,8.7,9.28,,,
15097.4,fortis,10.23,4677,10.2,4993,10.45,10.33,,,
15083.3,fortis,9.35,4721,9.9,4830,8.4,9.15,,,
