offspring bands,species,Family,Mid-offspring,maleband,male BL,femband,fem BL,Mid-parent,,,
5166.33,scandens,1,15.57,292,15.25,3455,16.1,15.675,,,
4407.67,scandens,2,14.1,359,14.9,408,14,14.45,, ,
5512,scandens,3,15.8,363,14.9,2543,14.2,14.55,, ,
10394.5,scandens,4,12.45,363,14.9,4813,13.6,14.25,, ,
13260,scandens,5,14.2,404,14.75,1865,14.9,14.825,, , 
4874.5,scandens,6,14.2,404,14.75,4109,14,14.375,,,
5082.33,scandens,7,14.43,472,15.1,1695,14.4,14.75,,,
5996,scandens,8,14.5,472,15.1,4109,14,14.55,,,
13596,scandens,9,14.4,472,15.1,5638,13.6,14.35,,,
8438,scandens,10,14.1,478,15.1,575,14.4,14.75,,,
8711.56,scandens,11,13.77,508,14,364,14,14,,,
10567,scandens,12,14.5,816,13.8,10067,14.1,13.95,,,
1073.5,scandens,13,13.75,988,15,317,12.9,13.95,,,
4875,scandens,14,14.45,988,15,1751,14.2,14.6,,,
5376,scandens,15,15.2,1014,15.5,1015,14.6,15.05,,,
13256.5,scandens,16,14.93,1022,15.1,5033,13.1,14.1,,,
2783,scandens,17,14.17,1031,15.3,1025,14.2,14.75,,,
13548,scandens,18,14.3,1031,15.3,2484,13.4,14.35,,,
4805,scandens,19,14.2,1031,15.3,2544,14.1,14.7,,,
2534.5,scandens,20,14.55,1362,14.3,1926,15.5,14.9,,,
6740,scandens,21,13.53,1362,14.3,2856,14.3,14.3,,,
9555.25,scandens,22,14,1386,13.8,4139,14.75,14.275,,,
8445,scandens,23,14.65,1396,15,1865,14.9,14.95,,,
4414.25,scandens,24,14.58,1396,15,5117,14.2,14.6,,,
15608,scandens,25,14.9,1444,14.85,364,14,14.425,,,
6119.2,scandens,26,14.02,1444,14.85,2484,13.4,14.125,,,
4222.5,scandens,27,14.35,1586,14.4,8447,14.9,14.65,,,
10517,scandens,28,15,1590,16.15,2431,14.4,15.275,,,
5816.6,scandens,29,15.27,1590,16.15,4382,14.6,15.375,,,
5006,scandens,30,13.43,1645,13.5,4064,14.3,13.9,,,
15513,scandens,31,13.48,1645,13.5,5576,13.8,13.65,,,
4891,scandens,32,14.1,1714,16,2545,14.8,15.4,,,
10641,scandens,33,14.4,1714,16,4109,14,15,,,
1086,scandens,34,13.9,1748,14.7,1751,14.2,14.45,,,
7953,scandens,35,14.45,1765,14.8,8444,14.8,14.8,,,
2553,scandens,36,13.9,1824,14.6,1865,14.9,14.75,,,
3877.5,scandens,37,14.2,1859,15,1695,14.4,14.7,,,
4822,scandens,38,14.9,1859,15,2431,14.4,14.7,,,
4137,scandens,39,15.8,1873,15.55,1926,15.5,15.525,,,
4880,scandens,40,15.8,1873,15.55,3466,14.2,14.875,,,
1266,scandens,41,14.1,1882,15,1695,14.4,14.7,,,
10391.2,scandens,42,14.08,1882,15,2543,14.2,14.6,,,
2734,scandens,43,15.25,2084,15.9,1926,15.5,15.7,,,
5198.71,scandens,44,13.93,2204,14.9,2209,14.8,14.85,,,
5119,scandens,45,13.98,2430,14.5,3451,14.2,14.35,,,
6215.4,scandens,46,14.32,2535,16,4121,14.5,15.25,,,
5818.5,scandens,47,13.25,2554,13.8,1865,14.9,14.35,,,
15297.6,scandens,48,14.19,2554,13.8,10067,14.1,13.95,,,
6830,scandens,49,14,2582,14.1,2758,13.6,13.85,,,
4638,scandens,50,14.1,2592,15.1,2540,13.2,14.15,,,
5913,scandens,51,14.85,2592,15.1,5033,13.1,14.1,,,
8040.5,scandens,52,13.75,2634,14.4,2489,14.3,14.35,,,
4887,scandens,53,14.23,2660,15.2,4196,14.9,15.05,,,
10538,scandens,54,16,2733,14.8,5705,14.1,14.45,,,
5410,scandens,55,13.43,2760,14.2,4102,13.3,13.75,,,
8631.33,scandens,56,14.8,2859,16,4205,15.4,15.7,,,
13248,scandens,57,15,2877,15.1,2489,14.3,14.7,,,
6695.25,scandens,58,14.73,2877,15.1,3877,14.7,14.9,,,
15638.33,scandens,59,14.73,2877,15.1,10002,14.6,14.85,,,
3756.14,scandens,60,14.41,2879,15.2,1009,14.7,14.95,,,
6660,scandens,61,14.07,2949,14.5,562,14,14.25,,,
4815,scandens,62,15.3,2969,16,2444,14.6,15.3,,,
15244.33,scandens,63,14.57,2969,16,2445,13.8,14.9,,,
13148,scandens,64,13.6,2969,16,4813,13.6,14.8,,,
4744,scandens,65,14.3,3343,14.4,4170,14.7,14.55,,,
10049,scandens,66,12.8,3347,15,2540,13.2,14.1,,,
13055.5,scandens,67,15.2,3347,15,4109,14,14.5,,,
