Year,Month,Males,SE,All birds,SE,Females,SE
1975,July,0.54,0.05,0.04,0.04,-0.24,0.1
1975,August,,,,,,
1975,September,,,,,,
1975,October,,,,,,
1975,November,,,,,,
1975,December,,,,,,
1976,January,0.54,0.06,0.03,0.04,-0.25,0.1
1976,February,,,,,,
1976,March,0.52,0.06,0.03,0.04,-0.25,0.1
1976,April,,,,,,
1976,May,,,,,,
1976,June,0.54,0.06,0,0.03,-0.23,0.11
1976,July,,,,,,
1976,August,,,,,,
1976,September,,,,,,
1976,October,,,,,,
1976,November,,,,,,
1976,December,0.51,0.07,0.06,0.04,-0.26,0.11
1977,January,,,,,,
1977,January,,,,,,
1977,February,,,,,,
1977,March,0.52,0.07,0.15,0.05,-0.16,0.13
1977,April,,,,,,
1977,May,,,,,,
1977,June,0.71,0.08,0.38,0.06,-0.13,0.18
1977,July,,,,,,
1977,August,,,,,,
1977,September,,,,,,
1977,October,,,,,,
1977,November,,,,,,
1977,December,1,0.1,0.65,0.1,0.2,0.2
1978,January,,,,,,
1978,February,,,,,,
1978,March,0.99,0.11,0.71,0.1,0.31,0.21
1978,April,,,,,,
1978,May,,,,,,
1978,June,0.94,0.11,0.78,0.1,0.31,0.22
1978,July,,,,,,
1978,August,,,,,,
1978,September,,,,,,
1978,October,,,,,,
1978,November,,,,,,
1978,December,1,0.11,0.8,0.1,0.3,0.24
1979,January,,,,,,
