Year,Month,Population size,95% CI,Seed abundance,SE,Size-hardness,SE
1975,July,1400,250,,,,
1975,August,,,,,,
1975,September,,,,,,
1975,October,,,,,,
1975,November,,,,,,
1975,December,,,,,,
1976,January,1150,100,7.6,2,4.75,0.4
1976,February,,,,,,
1976,March,1400,130,8.5,1.8,4.4,0.4
1976,April,,,,,,
1976,May,,,,,,
1976,June,1200,75,12.5,3,3.8,0.45
1976,July,,,,,,
1976,August,,,,,,
1976,September,,,,,,
1976,October,,,,,,
1976,November,,,,,,
1976,December,850,50,8.3,2,5.7,0.5
1977,January,,,,,,
1977,February,,,,,,
1977,March,625,50,7.9,1.5,6.3,0.4
1977,April,,,,,,
1977,May,,,,,,
1977,June,400,40,6.4,1.5,6.2,0.4
1977,July,,,,,,
1977,August,,,,,,
1977,September,,,,,,
1977,October,,,,,,
1977,November,,,,,,
1977,December,180,20,2.5,0.6,6,0.45
1978,January,,,,,,
1978,February,,,,,,
1978,March,,,3,0.6,4.4,0.4
1978,April,,,,,,
1978,May,,,,,,
1978,June,380,20,3.6,0.9,4.35,0.4
1978,July,,,,,,
1978,August,,,,,,
1978,September,,,,,,
1978,October,,,,,,
1978,November,,,,,,
1978,December,,,,,,
1979,January,225,25,,,,
,,,,,,,
, , ,,,,,
