Sea temp (X),Air temp (Y),Years,Sea temp (X),Air temp (Y),Years,Sea temp (X),Rainfall (Y),years,Sea temp (X),Rainfall (Y),years,Air temp (Y),Rainfall (Y),Years,Air temp (Y),Rainfall (Y),Years, , , 
24.4,26.6,Non-Ni–o,26.7,26.8,Ni–o,24.4,0,Non-Ni–o,26.7,195,Ni–o,26.6,0,Non-Ni–o,26.8,195,Ni–o,,,
24.5,25.7,Non-Ni–o,26.9,26.5,Ni–o,24.5,0,Non-Ni–o,26.9,234,Ni–o,25.7,0,Non-Ni–o,26.5,234,Ni–o,,,
24.8,26,Non-Ni–o,26.9,26.9,Ni–o,24.8,135,Non-Ni–o,26.9,368,Ni–o,26,135,Non-Ni–o,26.9,368,Ni–o,,,
24.9,26.2,Non-Ni–o,27.7,27.4,Ni–o,24.9,20,Non-Ni–o,27.7,622,Ni–o,26.2,20,Non-Ni–o,27.4,622,Ni–o,, , 
25,25.4,Non-Ni–o,27.9,29,Ni–o,25,30,Non-Ni–o,27.9,922,Ni–o,25.4,30,Non-Ni–o,29,922,Ni–o,, , 
25,26.8,Non-Ni–o,28,27.5,Ni–o,25,20,Non-Ni–o,28,1359,Ni–o,26.8,20,Non-Ni–o,27.5,1359,Ni–o,, , 
25.2,26.2,Non-Ni–o,28.1,27.5,Ni–o,25.2,0,Non-Ni–o,28.1,209,Ni–o,26.2,0,Non-Ni–o,27.5,209,Ni–o,,,
25.2,26.8,Non-Ni–o,,,,25.2,80,Non-Ni–o,,,,26.8,80,Non-Ni–o,,,,,,
25.3,26.5,Non-Ni–o,,,,25.3,50,Non-Ni–o,,,,26.5,50,Non-Ni–o,,,,,,
25.4,26.9,Non-Ni–o,,,,25.4,45,Non-Ni–o,,,,26.9,45,Non-Ni–o,,,,,,
25.5,26,Non-Ni–o,,,,25.5,0,Non-Ni–o,,,,26,0,Non-Ni–o,,,,,,
25.5,26.1,Non-Ni–o,,,,25.5,10,Non-Ni–o,,,,26.1,10,Non-Ni–o,,,,,,
25.6,26.5,Non-Ni–o,,,,25.6,50,Non-Ni–o,,,,26.5,50,Non-Ni–o,,,,,,
25.6,26.7,Non-Ni–o,,,,25.6,35,Non-Ni–o,,,,26.7,35,Non-Ni–o,,,,,,
25.9,26.2,Non-Ni–o,,,,25.9,70,Non-Ni–o,,,,26.2,70,Non-Ni–o,,,,,,
26.3,26.6,Non-Ni–o,,,,26.3,135,Non-Ni–o,,,,26.6,135,Non-Ni–o,,,,,,
