ln (rainfall),Number of broods,Clutch size,Species,Year,ln (rainfall),Number of broods,Clutch size,Species,Year
3.2,0.3,2.4,fortis,Non-Ni–o,3.2,1,2.1,scandens,Non-Ni–o
3.8,0.8,2.7,fortis,Non-Ni–o,3.8,0.3,2.2,scandens,Non-Ni–o
3.9,0.2,2.7,fortis,Non-Ni–o,3.9,0.3,2.3,scandens,Non-Ni–o
3.9,1.2,3.2,fortis,Non-Ni–o,3.9,1.7,2.7,scandens,Non-Ni–o
4,1.2,3,fortis,Non-Ni–o,4,2.3,2.3,scandens,Non-Ni–o
4.1,2,2.9,fortis,Non-Ni–o,4.1,2.3,2.4,scandens,Non-Ni–o
4.4,2.1,3.2,fortis,Non-Ni–o,4.4,2,2.6,scandens,Non-Ni–o
4.5,1.9,3.8,fortis,Non-Ni–o,4.5,0.8,3.4,scandens,Non-Ni–o
5,2.2,3.2,fortis,Non-Ni–o,5,2.2,4.1,scandens,Non-Ni–o
5,2.2,4.5,fortis,Non-Ni–o,5,2.2,2.3,scandens,Non-Ni–o
5.4,2.5,4.3,fortis,El Ni–o,5.4,2.2,4.1,scandens,El Ni–o
6.6,5,4.2,fortis,El Ni–o,6.6,4.9,4.6,scandens,El Ni–o
6.9,3.9,4.1,fortis,El Ni–o,6.9,4,3.5,scandens,El Ni–o
7.3,7.5,4.7,fortis,El Ni–o,7.3,7.4,4.5,scandens,El Ni–o
