Broods,Eggs,Fledglings,95% CI,Species,Year,Broods,Eggs,Fledglings,95% CI,Species,Year,Broods,Eggs,Fledglings,95% CI,Species,Year,Broods,Eggs,Fledglings,95% CI,Species,Year
1,3.6,1.6,0.2,scandens,El Ni–o,1,3,1.9,0,scandens,Non-Ni–o,1,3.9,2.7,0,fortis,El Ni–o,1,3.1,1.4,0,fortis,Non-Ni–o
2,4.3,2.4,0.3,scandens,El Ni–o,2,3.1,1.8,0.3,scandens,Non-Ni–o,2,4.4,2.8,0,fortis,El Ni–o,2,3.3,2,0.2,fortis,Non-Ni–o
3,4,1.9,0.3,scandens,El Ni–o,3,3.1,1.5,0.1,scandens,Non-Ni–o,3,4,2.1,0,fortis,El Ni–o,3,3.2,1.2,0,fortis,Non-Ni–o
4,3.9,2.6,0.4,scandens,El Ni–o,4,,,,scandens,Non-Ni–o,4,3.6,2.6,0.2,fortis,El Ni–o,4,2.5,0.3,0.2,fortis,Non-Ni–o
5,3.8,0.4,0,scandens,El Ni–o,5,,,,scandens,Non-Ni–o,5,3.5,1,0,fortis,El Ni–o,5,,,,fortis,Non-Ni–o
6,3.4,0.8,0,scandens,El Ni–o,6,,,,scandens,Non-Ni–o,6,3,1.4,0,fortis,El Ni–o,6,,,,fortis,Non-Ni–o
7,3.4,1,0.4,scandens,El Ni–o,7,,,,scandens,Non-Ni–o,7,3.4,0.6,0,fortis,El Ni–o,7,,,,fortis,Non-Ni–o
8,3.5,1.7,0.4,scandens,El Ni–o,8,,,,scandens,Non-Ni–o,8,3.4,2.5,0.5,fortis,El Ni–o,8,,,,fortis,Non-Ni–o
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,, , ,,,,,,,,,,,,,,,,,,
