Years,rain cm,Caterpillars,SE,fort nestlings,95% CI,scand nestling,95% CI
1976,13.5,,,2.5,0,2,0
1977,2.4,0,0,0,0,2.1,0
1978,13.7,16,8,8.5,1.5,8,1.9
1979,6.9,8,0,2,0.8,5,1
1980,5.3,5,0,2.1,0.8,3.2,0.4
1981,7.3,8,0,4.5,0,3,1.8
1982,5.1,0,0,1.6,0,1.9,0
1983,135.9,55,25,14,1.5,12.5,1.5
1984,5.3,4,0,2.5,0,2,0
1985,0.4,0,0,0,0,0,0
1986,4.9,1,0,1,0.8,2.1,2.1
1987,62.2,23,12,11,1,9,2.5
1988,0.1,0,0,0,0,0,0
1989,0.4,0,0,0,0,0,0
1990,4.8,4,0,0.8,0,1.6,1.6
1991,19.5,15,3,7.2,0.5,8,2
,,,,,,,
,,,,,,,
 , , ,,,,,
