Year,Cohort,Log, , , , 
0,1978,3,,,,
1,1978,2.69,,,,
2,1978,2.64,, , , 
3,1978,2.59,, , ,
4,1978,2.56,,,,
5,1978,2.47,, , , 
6,1978,2.32,,,,
7,1978,2.08,,,,
8,1978,1.98,,,,
9,1978,1.84,,,,
10,1978,1.78,,,,
11,1978,1.67,,,,
12,1978,1.59,,,,
13,1978,1.23,,,,
14,1978,1.11,,,,
15,1978,0.63,,,,
16,1978,0.63,,,,
17,1978,0,,,,
0,1983,3,,,,
1,1983,2.66,,,,
2,1983,2.4,,,,
3,1983,2.1,,,,
4,1983,2,,,,
5,1983,1.93,,,,
6,1983,1.82,,,,
7,1983,1.7,,,,
8,1983,1.54,,,,
9,1983,1.47,,,,
10,1983,1.33,,,,
11,1983,1.25,,,,
12,1983,0.48,,,,
13,1983,0,,,,
14,1983,.,,,,
15,1983,.,,,,
16,1983,.,,,,
17,1983,.,,,,
0,1987,3,,,,
1,1987,2.8,,,,
2,1987,2.67,,,,
3,1987,2.51,,,,
4,1987,2.32,,,,
5,1987,2.17,,,,
6,1987,2.04,,,,
7,1987,1.92,,,,
8,1987,1.49,,,,
9,1987,1.23,,,,
10,1987,0,,,,
