Years,fortis male,fortis female,scand male,scand female,Panel, , , , , , , , , , , , , 
79,,1,,1.7,Upper,,,,,,,,,,,,,
81,1.2,1.3,1,1.4,Upper,,,,,,,,,,,,,
83,2.5,3,1.3,2.2,Upper,,,,,,,,,,,,,
84,3.9,3.1,1.3,2.3,Upper,,,,,,,,,,,,,
87,4.1,3.1,1.3,.,Upper,,,,,,,,,,,,,
91,4.2,3.2,.,.,Upper,,,,,,,,,,,,,
79,.,.,.,.,Middle,,,,,,,,,,,,,
81,.,.,.,.,Middle,,,,,,,,,,,,,
83,2.1,1.9,1.4,0.8,Middle,,,,,,,,,,,,,
84,2.1,1.9,1.4,0.8,Middle,,,,,,,,,,,,,
87,2.4,3,3.9,.,Middle,,,,,,,,,,,,,
91,3.3,3.2,4.4,.,Middle,,,,,,,,,,,,,
79,.,.,.,.,Lower,,,,,,,,,,,,,
81,.,.,.,.,Lower,,,,,,,,,,,,,
83,.,1.4,1,.,Lower,,,,,,,,,,,,,
84,1.1,1.1,1.2,.,Lower,,,,,,,,,,,,,
87,2,2,2.5,.,Lower,,,,,,,,,,,,,
91,2.5,2.6,2.9,.,Lower,,,,,,,,,,,,,
