Years,Year,Bursera fruits,Opuntia fruits,Rain, , , , , 
1976,1,15755,.,135,,,,,
1977,2,7520,.,24,,,,,
1978,3,2083,.,137,, , , , 
1979,4,0,.,69,, , , , 
1980,5,6656,.,53,,,,,
1981,6,289,.,73,,,,,
1982,7,1167,954,51,,,,,
1983,8,2695,54,1359,,,,,
1984,9,11739,44,53,,,,,
1985,10,0,801,4,,,,,
1986,11,239,239,49,,,,,
1987,12,2301,843,622,,,,,
1988,13,0,358,1,,,,,
1989,14,675,300,4,,,,,
1990,15,2967,0,48,,,,,
1991,16,6685,552,195,,,,,
1992,17,38274,1063,209,,,,,
1993,18,3014,1786,234,,,,,
1994,19,0,1430,51,,,,,
1995,20,7448,1102,66,,,,,
1996,21,0,1278,2,,,,,
1997,22,1224,2503,368,,,,,
1998,23,19295,17,922,,,,,
1999,24,0,81,30,,,,,
2000,25,509,1151,50,,,,,
2001,26,19910,1402,96,,,,,
2002,27,0,2584,185,,,,,
2003,28,9987,1415,16,,,,,
2004,29,0,636,25,,,,,
2005,30,0,0,121,,,,,
2006,31,3670,1994,27,,,,,
2007,32,1332,206,133,,,,,
2008,33,8760,3248,205,,,,,
2009,34,16973,701,85,,,,,
2010,35,0,512,172,,,,,
2011,36,25818,1912,381,,,,,
