Percent,Ff,FS,FFf,FFS,SSF,FFFf,FFFS,f,F,S,f%,F%,S%
Tribulus seeds,0,0,0,10,0,2.222222222,8.333333333,0,98,6,0,7.78395552,1.591511936
Opuntia seeds,3.125,30.76923077,5.555555556,6.666666667,18.75,4.444444444,0,0,59,79,0,4.686258936,20.95490716
Opuntia flowers,3.125,30.76923077,11.11111111,13.33333333,75,17.77777778,41.66666667,0,130,187,0,10.32565528,49.60212202
Small seeds,93.75,30.76923077,77.77777778,70,6.25,75.55555556,50,33,907,88,97.05882353,72.04130262,23.34217507
arthropods,0,7.692307692,5.555555556,0,0,0,0,1,65,17,2.941176471,5.162827641,4.50928382
TOTAL,,,,,,,,34,1259,377,,,
,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 , , ,,,,,,,,,,,
