Age,fortis,scandens,fulifortis,scandifortis
0,2.999991995,3.000006762,3.000000145,3
1,2.697981778,2.581959635,2.687465265,2.442415716
2,2.435128061,2.218283361,2.495509946,2.442415716
3,2.290905594,2.053159329,2.363590744,2.442415716
4,2.135580367,1.878999671,2.333102297,2.013844288
5,2.004016756,1.755814389,2.192252623,1.585272859
6,1.808805825,1.665193321,1.404097158,1.585272859
7,1.6524598,1.52104915,1.404097158,1.242710001
8,1.524175439,1.412388966,1.353925492,1.242710001
9,1.352897731,1.229846087,1.353925492,1.242710001
10,1.085430822,1.035577052,1.303753826,1.242710001
11,0.760028815,0.761224919,1.303753826,1.242710001
12,0.609864169,0.567656531,0.636359981,0.857142857
13,0.362866709,0.499496352,0.349485002,0.857142857
14,0.13869162,0.194464621,0,0.428571429
15,0.004774822,0.151460336,0,0.428571429
16,0.004774822,0.091184219,0,0.428571429
17,0,0,0,0
,,,,
,,,,
 , , , ,
 , , , ,
