Year,fortis,scandens,fuliginosa,magnirostris,fort ln cum N,fort cum N,fort cum alleles,scand ln cum N,scand cum N,scand cum alleles,ful ln cum N,ful cum N,ful cum alleles,mag ln cum N,mag cum N,mag cum alleles
0,0,0,0,0,0,0,0,0,0,0,,,,,,
1,82,71,45,44,2.079441542,8,82,0.693147181,2,35,,,,,,
2,87,81,60,51,2.197224577,9,87,1.791759469,6,71,,,,,,
3,87,81,60,51,3.091042453,22,108,2.079441542,8,81,0,0,0,0,0,0
4,108,88,60,51,4.33073334,76,133,2.48490665,12,88,0.693147181,2,45,1.098612289,3,44
5,108,88,85,99,4.634728988,103,136,3.465735903,32,113,1.609437912,5,60,1.386294361,4,51
6,133,113,85,99,6.11146734,451,162,4.65396035,105,128,2.397895273,11,85,3.583518938,36,99
7,136,113,85,99,6.975413927,1070,170,5.673323267,291,135,2.564949357,13,93,3.737669618,42,100
8,136,113,85,100,7.097548851,1209,171,5.840641657,344,137,2.890371758,18,115,4.33073334,76,108
9,136,113,93,108,7.312553498,1499,173,6.001414878,404,140,3.295836866,27,145,4.828313737,125,119
10,162,128,115,119,7.437795122,1699,177,6.018593214,411,142,3.433987204,31,154,5.105945474,165,127
11,162,128,145,127,7.524561226,1853,179,6.063785209,430,144,3.526360525,34,164,5.164785974,175,131
12,162,128,145,129,7.607381426,2013,180,6.289715571,539,150,3.555348061,35,166,5.209486153,183,132
13,162,128,145,131,7.620705087,2040,181,6.356107661,576,152,3.583518938,36,166,5.659482216,287,139
14,170,135,145,131,7.665284718,2133,181,6.475432717,649,154,3.737669618,42,169,5.84932478,347,145
15,171,137,145,132,7.682,2169,184,6.6147256,746,156,3.761200116,43,173,6.023447593,413,149
16,171,140,145,139,,,,6.65544035,777,157,3.7842,44,176,6.300785795,545,150
17,171,140,145,139,,,,6.899723107,992,160,,,,6.349138991,572,151
18,171,142,145,139,,,,6.931471806,1024,160,,,,6.376726948,588,151
19,171,142,154,145,,,,6.9603,1054,160,,,,6.3986,601,151
20,171,144,154,149,,,,,,,,,,,,
21,173,150,154,149,,,,,,,,,,,,
22,173,150,154,149,,,,,,,,,,,,
23,173,150,164,149,,,,,,,,,,,,
24,173,152,164,149,,,,,,,,,,,,
25,177,154,164,149,,,,,,,,,,,,
26,177,154,166,149,,,,,,,,,,,,
27,177,154,166,150,,,,,,,,,,,,
28,177,156,169,151,,,,,,,,,,,,
29,177,156,175,151,,,,,,,,,,,,
30,179,157,,,,,,,,,,,,,,
31,179,157,,,,,,,,,,,,,,
32,180,157,,,,,,,,,,,,,,
33,181,160,,,,,,,,,,,,,,
34,181,160,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,
 , ,,,,,,,,,,,,,,,
 , ,,,,,,,,,,,,,,,
 , ,,,,,,,,,,,,,,,
 , ,,,,,,,,,,,,,,,
 , ,,,,,,,,,,,,,,,
 , ,,,,,,,,,,,,,,,
 , ,,,,,,,,,,,,,,,
