band,Species,Beak length,Beak depth
4026,f,8.8,6.52
4158,f,8.24,6.74
4247,f,8.54,6.74
4306,f,8.85,7.02
4348,f,8.84,6.84
5002,f,8.6,6.4
5153,f,9.2,7.2
5172,f,8.1,6.5
5214,f,8.16,6.99
5219,f,7.56,6.29
8201,f,8,6.8
8202,f,9.3,7.2
8203,f,8.1,6.4
8204,f,8.5,6.8
8205,f,7.7,6.6
8206,f,8.4,6.3
8207,f,8.6,6.4
8208,f,8.6,7
8258,f,8.73,7.2
8275,f,7.8,6.2
8397,f,7.93,6.1
8521,f,8.1,6.4
8522,f,8,6.7
8523,f,8.8,7.1
8524,f,8.9,6.6
8525,f,7.9,6.3
8526,f,8.8,6.6
8527,f,8.5,6.5
8528,f,8,6.5
8529,f,8.7,6.8
8530,f,8.9,6.9
8531,f,9.1,7
8532,f,8.7,6.3
8533,f,8.5,6.7
8534,f,8.2,6.8
8536,f,8.1,6.9
8537,f,8.4,6.9
8538,f,8.7,6.7
8551,f,8.8,6.8
8552,f,8.4,6.7
8553,f,8.7,7.2
8555,f,8.8,7
8556,f,8.9,6.9
8557,f,8,6.6
8558,f,8.8,6.6
8559,f,8.2,6.5
8560,f,8.4,6.5
8562,f,8.4,6.5
8563,f,8.3,6.6
8565,f,8.4,7
2434,F,10.61,10.49
2435,F,10.63,9.2
2436,F,11.23,10.9
2437,F,12,11.2
2438,F,12.16,10.69
2439,F,12.11,10.39
2446,F,11.7,10
2447,F,10.96,10.14
2448,F,10.23,9.4
2449,F,11.23,10.3
2483,F,13.66,11.59
2490,F,9.91,9.29
2491,F,10.03,9.3
2492,F,10.46,8.89
2493,F,10.96,10.94
2495,F,10.86,9.74
2496,F,10.3,8.9
2498,F,10.59,9.25
2530,F,10.84,8.74
2536,F,11.44,10.84
2537,F,11.3,9.3
2546,F,11.43,10.08
2547,F,10.74,9.84
2548,F,11.44,9.74
2549,F,12,10.1
2551,F,10.74,9.24
2585,F,10.63,9
2587,F,12,10
2588,F,11.16,9.34
2589,F,10.31,8.74
2590,F,10.76,8.94
2598,F,10.64,9.04
2599,F,11.04,8.84
2630,F,9.54,8.44
2631,F,11.04,10.14
2632,F,9.7,8.7
2633,F,11.09,9.55
2639,F,10.3,8.95
2640,F,10.4,9.5
2641,F,11.56,9.84
2642,F,10.74,9.34
2645,F,11.19,10.55
2646,F,11.71,9.89
2648,F,11.54,10.34
2649,F,10.54,9.24
2652,F,9.64,9.14
2653,F,11.1,10.2
2655,F,11.11,9.84
2656,F,9.83,9.2
2657,F,10.6,9.7
2430,S,14.54,9.24
2431,S,14.44,8.84
2432,S,14.23,9.5
2433,S,14.34,9.42
2444,S,14.61,8.67
2445,S,13.76,9.37
2484,S,13.41,9.32
2486,S,14.41,9.57
2487,S,14.06,8.97
2488,S,14.03,9.9
2489,S,14.31,9.32
2534,S,13.13,8.4
2535,S,16.04,10.34
2540,S,13.24,9.44
2541,S,14.74,9.64
2543,S,14.21,8.97
2544,S,14.1,9.4
2545,S,14.76,9.42
2552,S,14.04,9.14
2554,S,13.83,9.2
2582,S,14.15,9.56
2583,S,13.46,9.12
2584,S,15.1,10
2591,S,14.04,9.44
2592,S,15.11,9.32
2594,S,14.01,9.37
2634,S,14.44,9.24
2635,S,13.95,9.26
2636,S,13.63,8.7
2637,S,14.1,9
2660,S,15.24,10.14
2662,S,14.74,9.64
2695,S,14.26,9.22
2697,S,14.23,9.1
2698,S,13.91,8.87
2733,S,14.81,8.67
2735,S,15.74,9.34
2740,S,14.66,8.97
2741,S,14.24,9.54
2742,S,14.84,9.64
2758,S,13.56,9.32
2759,S,14.1,9.3
2760,S,14.2,9.25
2777,S,14.23,8.4
2778,S,13.93,8.8
2794,S,14.43,9.5
2841,S,14.63,9.2
2850,S,15.24,9.84
2854,S,12.83,9.1
2856,S,14.3,8.9
2557,Ff,9.44,7.64
2559,Ff,9.24,7.24
2560,Ff,8.54,7.04
2767,Ff,8.94,7.64
4917,Ff,9.84,7.44
4968,Ff,9.25,7.5
5643,Ff,8.76,7.49
10376,Ff,9.28,7.68
10508,Ff,11,9.7
13708,Ff,11.83,9.24
13709,Ff,11.4,9.1
13852,Ff,8.9,7.4
13905,Ff,8.2,7.3
13906,Ff,9,8
13907,Ff,9.04,7.64
14418,Ff,9.6,7.7
15272,Ff,9.34,7.51
15273,Ff,10.06,8.73
16165,Ff,9.7,8
16167,Ff,10.55,8.85
17656,Ff,9.5,8.2
17664,Ff,10.5,9.2
17665,Ff,9.5,8.1
13301,Ff,10.3,9.7
13302,Ff,9.9,8.5
13303,Ff,10.1,8.5
13578,Ff,10.8,9.5
13579,Ff,10.03,9.07
13618,Ff,10,8.6
13619,Ff,10.2,8.4
14713,Ff,10.4,9.6
14832,Ff,10.45,8.7
14833,Ff,10.09,8.56
14969,Ff,10.16,8.03
14970,Ff,9.8,8.5
14971,Ff,11,9.8
14982,Ff,9.96,8.33
14983,Ff,8.83,7.32
15284,Ff,9.2,7.3
15285,Ff,9.34,7.92
15286,Ff,9.2,8.2
15484,Ff,9.7,7.45
15487,Ff,9.14,7.12
15695,Ff,9.5,7.5
16168,Ff,10.5,9.5
16170,Ff,9.64,8.31
16807,Ff,9.7,7.5
16811,Ff,9.9,7.5
17617,Ff,10.1,8.2
16889,Ff,9.55,7.8
16891,Ff,9.7,8
5626,FS,11.1,8.89
5627,FS,10.74,8.03
5628,FS,12,8.6
5629,FS,10.67,8.92
13140,FS,11.2,8.8
13567,FS,10.9,8.9
15704,FS,12.34,8.81
15718,FS,10.75,7.77
15721,FS,11.89,8.96
15725,FS,11.5,8.8
15886,FS,11.24,10.11
16195,FS,11.8,9.3
17950,FS,10.3,8.7
17953,FS,11.1,9.5
18551,FS,13,9.7
2666,FS,12.81,9.3
,,,
,,,
 ,,,
 , ,,
 , ,,
 , ,,
 , ,,
 , ,,
