Year,PC2 beak difference,,
1972,2.258,,
1973,2.353,,
1974,2.345,,
1975,2.208,,
1976,2.274,,
1977,2.299,,
1978,2.201,,
1979,2.232,,
1980,2.279,,
1981,2.237,,
1982,2.243,,
1983,2.214,,
1984,2.231,,
1985,2.217,,
1986,2.129,,
1987,1.975,,
1988,1.975,,
1989,2.002,,
1990,2.006,,
1991,1.856,,
1992,1.79,,
1993,1.802,,
1994,1.788,,
1995,1.802,,
1996,1.757,,
1997,1.744,,
1998,1.681,,
1999,1.573,,
2000,1.573,,
2001,1.542,,
2002,1.557,,
2003,1.554,,
2004,1.555,,
2005,1.427,,
2006,1.414,,
2007,1.385,,
2008,1.457,,
2009,1.427,,
2010,1.362,,
2011,1.362,,
2012,1.36,,
,,,
 , , , 
