year,species,CV PC2  Beak shape
1972,fortis,30.347
1973,fortis,39.082
1974,fortis,43.866
1975,fortis,42.133
1976,fortis,45.504
1977,fortis,46.786
1978,fortis,50.604
1979,fortis,50.259
1980,fortis,50.95
1981,fortis,50.921
1982,fortis,48.515
1983,fortis,57.072
1984,fortis,55.162
1985,fortis,57.59
1986,fortis,67.347
1987,fortis,73.673
1988,fortis,73.673
1989,fortis,74.831
1990,fortis,69.369
1991,fortis,60.73
1992,fortis,58.798
1993,fortis,58.635
1994,fortis,60
1995,fortis,54.013
1996,fortis,52.993
1997,fortis,45.532
1998,fortis,57.666
1999,fortis,58.891
2001,fortis,64.665
2002,fortis,62.673
2003,fortis,65.871
2004,fortis,71.394
2005,fortis,56.25
2006,fortis,55.269
2007,fortis,55.211
2008,fortis,59.956
2009,fortis,63.85
2010,fortis,74.659
2011,fortis,81.351
2012,fortis,85.714
1972,scandens,16.347
1973,scandens,17.316
1974,scandens,14.571
1975,scandens,20.538
1976,scandens,23.166
1977,scandens,23.347
1978,scandens,24.044
1979,scandens,25.166
1980,scandens,24.412
1981,scandens,25.671
1982,scandens,26.268
1983,scandens,27.774
1984,scandens,28.192
1985,scandens,28.01
1986,scandens,25.723
1987,scandens,29.284
1988,scandens,29.284
1989,scandens,27.039
1990,scandens,27.849
1991,scandens,36.115
1992,scandens,37.387
1993,scandens,39.76
1994,scandens,40.665
1995,scandens,39.075
1996,scandens,40.505
1997,scandens,44.505
1998,scandens,45.177
1999,scandens,54.123
2001,scandens,47.701
2002,scandens,44.346
2003,scandens,43.348
2004,scandens,40.227
2005,scandens,46.729
2006,scandens,46.365
2007,scandens,46.788
2008,scandens,42.3
2009,scandens,42.657
2010,scandens,42.513
2011,scandens,43.17
2012,scandens,43.788
,,
,,
 ,,
 ,,
 , ,
 , ,
