band,species,with or without,fortis CV PC2,species,with/without,scandens CV PC2
1987,fortis,with,73.67,scandens,with,29.28
1988,fortis,with,73.67,scandens,with,29.28
1989,fortis,with,74.83,scandens,with,27.04
1990,fortis,with,69.37,scandens,with,27.85
1991,fortis,with,60.73,scandens,with,36.12
1992,fortis,with,58.8,scandens,with,37.39
1993,fortis,with,58.64,scandens,with,39.76
1994,fortis,with,60,scandens,with,40.67
1995,fortis,with,54.01,scandens,with,39.08
1996,fortis,with,52.99,scandens,with,40.51
1997,fortis,with,45.53,scandens,with,44.51
1998,fortis,with,57.67,scandens,with,45.18
1999,fortis,with,58.89,scandens,with,54.12
2001,fortis,with,64.67,scandens,with,47.7
2002,fortis,with,62.67,scandens,with,44.35
2003,fortis,with,65.87,scandens,with,43.35
2004,fortis,with,71.39,scandens,with,40.23
2005,fortis,with,56.25,scandens,with,46.73
2006,fortis,with,55.27,scandens,with,46.37
2007,fortis,with,55.21,scandens,with,46.79
2008,fortis,with,59.96,scandens,with,42.3
2009,fortis,with,63.85,scandens,with,42.66
2010,fortis,with,74.66,scandens,with,42.51
2011,fortis,with,81.35,scandens,with,43.17
2012,fortis,with,85.71,scandens,with,43.79
1987,fortis,without,73.41,scandens,without,26.12
1988,fortis,without,73.41,scandens,without,26.12
1989,fortis,without,71.71,scandens,without,21.92
1990,fortis,without,68.3,scandens,without,21.85
1991,fortis,without,57.02,scandens,without,23.55
1992,fortis,without,55.93,scandens,without,25.73
1993,fortis,without,56.85,scandens,without,26.94
1994,fortis,without,58.7,scandens,without,27.03
1995,fortis,without,54.55,scandens,without,25.12
1996,fortis,without,53.26,scandens,without,24.1
1997,fortis,without,45.78,scandens,without,23.3
1998,fortis,without,57.92,scandens,without,28.94
1999,fortis,without,59.58,scandens,without,34.2
2001,fortis,without,59.37,scandens,without,27.04
2002,fortis,without,59.23,scandens,without,35.62
2003,fortis,without,63.05,scandens,without,35.81
2004,fortis,without,65.37,scandens,without,35
2005,fortis,without,51.84,scandens,without,35.63
2006,fortis,without,51.85,scandens,without,32.8
2007,fortis,without,51.27,scandens,without,35.85
2008,fortis,without,58.28,scandens,without,34.16
2009,fortis,without,61.63,scandens,without,35
2010,fortis,without,71.09,scandens,without,35.53
2011,fortis,without,70.66,scandens,without,36.59
2012,fortis,without,64.99,scandens,without,37.88
,,,,,,
,,,,,,
,, ,,,,
,, , ,,,
,, , ,,,
,, ,,,,
,, ,,,,
