year,species,BD SD,BL SD,BDSD/BLSD,species,BD SD,BL SD,BDSD/BLSD
1975,fortis,0.737,0.672,1.097,scandens,0.567,0.757,0.749
1976,fortis,0.808,0.735,1.099,scandens,0.572,0.771,0.742
1977,fortis,0.877,0.817,1.073,scandens,0.561,0.749,0.749
1978,fortis,0.834,0.799,1.044,scandens,0.453,0.743,0.61
1979,fortis,0.831,0.794,1.047,scandens,0.486,0.795,0.611
1980,fortis,0.812,0.778,1.044,scandens,0.448,0.726,0.617
1981,fortis,0.794,0.752,1.056,scandens,0.489,0.796,0.614
1982,fortis,0.769,0.73,1.053,scandens,0.472,0.806,0.586
1983,fortis,0.774,0.721,1.074,scandens,0.512,0.787,0.651
1984,fortis,0.839,0.736,1.14,scandens,0.539,0.799,0.675
1985,fortis,0.841,0.72,1.168,scandens,0.544,0.803,0.677
1986,fortis,0.837,0.776,1.079,scandens,0.498,0.763,0.653
1987,fortis,0.771,0.77,1.001,scandens,0.492,0.862,0.571
1988,fortis,0.771,0.77,1.001,scandens,0.492,0.862,0.571
1989,fortis,0.776,0.78,0.995,scandens,0.432,0.841,0.514
1990,fortis,0.779,0.774,1.006,scandens,0.439,0.888,0.494
1991,fortis,0.781,0.785,0.995,scandens,0.505,1.059,0.477
1992,fortis,0.768,0.778,0.987,scandens,0.506,0.997,0.508
1993,fortis,0.753,0.775,0.972,scandens,0.527,0.992,0.531
1994,fortis,0.745,0.777,0.959,scandens,0.54,1.018,0.53
1995,fortis,0.761,0.81,0.94,scandens,0.523,1.002,0.522
1996,fortis,0.774,0.842,0.919,scandens,0.501,1.037,0.483
1997,fortis,0.691,0.705,0.98,scandens,0.508,1.103,0.461
1998,fortis,0.826,0.83,0.995,scandens,0.574,1.05,0.547
1999,fortis,0.821,0.824,0.996,scandens,0.623,1.033,0.603
2000,fortis,0.816,0.84,0.971,scandens,0.566,0.833,0.679
2001,fortis,0.802,0.858,0.935,scandens,0.6,0.81,0.741
2002,fortis,0.857,0.891,0.962,scandens,0.598,0.839,0.713
2003,fortis,0.877,0.897,0.978,scandens,0.606,0.838,0.723
2004,fortis,0.937,0.954,0.982,scandens,0.59,0.778,0.758
2005,fortis,0.698,0.805,0.867,scandens,0.615,0.747,0.823
2006,fortis,0.69,0.796,0.867,scandens,0.611,0.763,0.801
2007,fortis,0.704,0.76,0.926,scandens,0.627,0.812,0.772
2008,fortis,0.659,0.7,0.941,scandens,0.647,0.826,0.783
2009,fortis,0.675,0.727,0.928,scandens,0.6,0.703,0.853
2010,fortis,0.666,0.714,0.933,scandens,0.609,0.743,0.82
2011,fortis,0.695,0.777,0.894,scandens,0.634,0.779,0.814
2012,fortis,0.743,0.802,0.926,scandens,0.655,0.701,0.934
,,,,,,,,
 ,,,,,,,,
 ,,,,,,,,
 , ,,,,,,,
 , ,,,,,,,
 , ,,,,,,,
 , ,,,,,,,
 ,,,,,,,,
