Year,LOCUS,allele,f Frequency,Species,LOCUS,allele,f Frequency,Species
1982,422,169,0.2045,fortis,1216,128,0.4091,fortis
1983,422,169,0.2292,fortis,1216,128,0.4167,fortis
1984,422,169,0.2745,fortis,1216,128,0.3824,fortis
1985,422,169,0.2745,fortis,1216,128,0.3824,fortis
1986,422,169,0.2745,fortis,1216,128,0.3775,fortis
1987,422,169,0.2813,fortis,1216,128,0.4075,fortis
1988,422,169,0.2834,fortis,1216,128,0.4093,fortis
1989,422,169,0.2849,fortis,1216,128,0.4079,fortis
1990,422,169,0.2961,fortis,1216,128,0.3936,fortis
1991,422,169,0.3117,fortis,1216,128,0.4028,fortis
1992,422,169,0.3183,fortis,1216,128,0.3888,fortis
1993,422,169,0.3127,fortis,1216,128,0.3994,fortis
1994,422,169,0.3098,fortis,1216,128,0.3886,fortis
1995,422,169,0.3231,fortis,1216,128,0.3935,fortis
1996,422,169,0.3,fortis,1216,128,0.3923,fortis
1997,422,169,0.3525,fortis,1216,128,0.4344,fortis
1998,422,169,0.2835,fortis,1216,128,0.433,fortis
1999,422,169,0.2527,fortis,1216,128,0.4396,fortis
2000,422,169,0.2419,fortis,1216,128,0.4839,fortis
2001,422,169,0.252,fortis,1216,128,0.435,fortis
2002,422,169,0.2844,fortis,1216,128,0.4289,fortis
2003,422,169,0.2929,fortis,1216,128,0.4231,fortis
2004,422,169,0.25,fortis,1216,128,0.4071,fortis
2005,422,169,0.2741,fortis,1216,128,0.4,fortis
2006,422,169,0.2803,fortis,1216,128,0.4091,fortis
2007,422,169,0.3143,fortis,1216,128,0.4049,fortis
2008,422,169,0.3309,fortis,1216,128,0.3828,fortis
2009,422,169,0.3283,fortis,1216,128,0.3513,fortis
2010,422,169,0.2701,fortis,1216,128,0.3778,fortis
2011,422,169,0.265,fortis,1216,128,0.3853,fortis
2012,422,169,0.2757,fortis,1216,128,0.4028,fortis
1982,422,169,0.0417,scandens,1216,128,0.0417,scandens
1983,422,169,0.0938,scandens,1216,128,0.1094,scandens
1984,422,169,0.0882,scandens,1216,128,0.1029,scandens
1985,422,169,0.0882,scandens,1216,128,0.1029,scandens
1986,422,169,0.0882,scandens,1216,128,0.1029,scandens
1987,422,169,0.0721,scandens,1216,128,0.1286,scandens
1988,422,169,0.0789,scandens,1216,128,0.1146,scandens
1989,422,169,0.0789,scandens,1216,128,0.1146,scandens
1990,422,169,0.0824,scandens,1216,128,0.1163,scandens
1991,422,169,0.0804,scandens,1216,128,0.1225,scandens
1992,422,169,0.1038,scandens,1216,128,0.121,scandens
1993,422,169,0.1083,scandens,1216,128,0.1099,scandens
1994,422,169,0.1132,scandens,1216,128,0.1118,scandens
1995,422,169,0.0967,scandens,1216,128,0.1118,scandens
1996,422,169,0.101,scandens,1216,128,0.1337,scandens
1997,422,169,0.1014,scandens,1216,128,0.1691,scandens
1998,422,169,0.1118,scandens,1216,128,0.1457,scandens
1999,422,169,0.1136,scandens,1216,128,0.1439,scandens
2000,422,169,0.1818,scandens,1216,128,0.2273,scandens
2001,422,169,0.18,scandens,1216,128,0.2,scandens
2002,422,169,0.1579,scandens,1216,128,0.193,scandens
2003,422,169,0.1468,scandens,1216,128,0.1927,scandens
2004,422,169,0.1071,scandens,1216,128,0.2,scandens
2005,422,169,0.18,scandens,1216,128,0.2533,scandens
2006,422,169,0.1757,scandens,1216,128,0.2568,scandens
2007,422,169,0.2022,scandens,1216,128,0.3333,scandens
2008,422,169,0.2118,scandens,1216,128,0.2895,scandens
2009,422,169,0.2195,scandens,1216,128,0.2756,scandens
2010,422,169,0.2165,scandens,1216,128,0.2814,scandens
2011,422,169,0.19,scandens,1216,128,0.2919,scandens
2012,422,169,0.1693,scandens,1216,128,0.2874,scandens
