years,magnirostris mean het,magnirostris 95% CI,fortis mean het,fortis 95% CI,scandens mean het,scandens 95% CI
1983,.,.,0.683,0.032,0.665,0.049
1984,.,.,0.676,0.028,0.668,0.047
1985,.,.,0.676,0.028,0.668,0.045
1986,.,.,0.676,0.028,0.668,0.045
1987,.,.,0.674,0.012,0.65,0.026
1988,0.672,0.11,0.674,0.012,0.65,0.026
1989,0.664,0.097,0.674,0.012,0.65,0.026
1990,0.692,0.07,0.674,0.012,0.656,0.026
1991,0.627,0.05,0.668,0.008,0.643,0.012
1992,0.683,0.057,0.672,0.008,0.657,0.018
1993,0.698,0.054,0.669,0.01,0.652,0.018
1994,0.675,0.055,0.667,0.01,0.652,0.02
1995,0.693,0.053,0.668,0.016,0.66,0.022
1996,0.698,0.059,0.666,0.022,0.653,0.025
1997,0.643,0.066,0.656,0.038,0.677,0.032
1998,0.617,0.023,0.675,0.018,0.643,0.022
1999,0.628,0.031,0.673,0.022,0.643,0.034
2000,0.621,0.045,0.686,0.03,0.67,0.036
2001,0.561,0.046,0.674,0.02,0.668,0.034
2002,0.585,0.033,0.675,0.016,0.671,0.024
2003,0.577,0.028,0.672,0.016,0.67,0.024
2004,0.587,0.031,0.665,0.024,0.663,0.032
2005,0.595,0.113,0.691,0.018,0.699,0.028
2006,0.546,0.04,0.691,0.018,0.697,0.028
2007,0.564,0.043,0.698,0.02,0.702,0.024
2008,0.574,0.043,0.69,0.016,0.706,0.018
2009,0.577,0.03,0.691,0.016,0.7,0.016
2010,0.592,0.027,0.69,0.016,0.699,0.016
2011,0.603,0.029,0.694,0.016,0.696,0.014
2012,0.56,0.033,0.691,0.02,0.692,0.024
,,,,,,
, , ,,,,
