year,Species,S PC 1 body,P,S PC 1 beak,P,S PC 2 beak,P,,
1974,scandens,0.110376312,,0.114738186,,0.007240763,,,
1975,scandens,-0.002243275,,0.154812834,,0.234695146,,,
1976,scandens,0.097444253,,0.103546317,,-0.112971469,,,
1977,scandens,0.502976581,***,0.446916743,***,-0.039748752,,,
1978,scandens,0.016566489,,0.068088458,,0.017092245,,,
1979,scandens,0.025043288,,0.057727207,,0.042535477,, ,
1980,scandens,-0.010548717,,0.021890845,,-0.014103205,, , 
1981,scandens,0.001172537,,0.005607575,,-0.029973641,, , 
1982,scandens,0.07994374,*,0.065483546,,0.02532977,, ,
1983,scandens,-0.013965372,,0.006348244,,-0.070266058,,,
1984,scandens,-0.004500115,,-0.011404836,,0.01361392,,,
1985,scandens,0.267646071,**,0.279364891,***,0.024391975,,,
1986,scandens,0.029379581,,0.043662705,,-0.049181763,,,
1987,scandens,0.127369013,,0.107885955,,0.012816891,,,
1988,scandens,0.031181753,,0.062329134,,0.07575194,,,
1989,scandens,0.060790396,,-0.003858235,,0.014483123,,,
1990,scandens,0.059632928,,0.092872105,,0.052964048,,,
1991,scandens,-0.108593288,,-0.066414767,,-0.055813012,,,
1992,scandens,0.121569998,,0.147748556,*,0.044126925,,,
1993,scandens,-0.0195579,,0.001883138,,-0.02684844,,,
1994,scandens,0.160522597,**,0.035015712,,0.02270806,,,
1995,scandens,0.055046697,,0.06179415,,-0.077326246,,,
1996,scandens,0.05400047,,0.062280445,,-0.065740724,,,
1997,scandens,-0.10166097,,-0.021753604,,0.071399222,,,
1998,scandens,-0.29022509,,-0.169381779,,-0.225504887,,,
1999,scandens,-0.029537261,,-0.063679352,,-0.264005668,,,
2000,scandens,.,,.,,.,,,
2001,scandens,0.100031184,,0.105847339,,-0.037637216,,,
2002,scandens,0.030664594,,-0.042271149,,0.066714526,,,
2003,scandens,0.27429009,***,0.150158669,,0.019703079,,,
2004,scandens,0.193140147,,0.02380168,,-0.022474277,,,
2005,scandens,0.181194564,**,0.083644297,,-0.016780701,,,
2006,scandens,0.16600819,**,0.133085882,,-0.029527004,,,
2007,scandens,0.01902491,,0.070173032,,-0.01716021,,,
2008,scandens,0.047928975,,0.064408863,,-0.090233872,,,
2009,scandens,0.129769816,**,0.127228235,**,-0.125244939,**,,
2010,scandens,0.06405694,,0.064277996,,-0.055670313,,,
2011,scandens,0.15243193,,0.15330388,,-0.1310623,,,
