year,species,PC1 body,PC1 beak,PC2 beak
1973,scandens,2.883,0.639,1.721
1974,scandens,2.944,0.568,1.75
1975,scandens,2.005,0.017,1.636
1976,scandens,2.167,0.332,1.718
1977,scandens,2.329,0.526,1.739
1978,scandens,2.702,0.803,1.622
1979,scandens,2.673,0.635,1.653
1980,scandens,2.69,0.766,1.7
1981,scandens,2.492,0.606,1.64
1982,scandens,2.492,0.633,1.637
1983,scandens,2.391,0.534,1.613
1984,scandens,2.216,0.427,1.582
1985,scandens,2.173,0.404,1.578
1986,scandens,2.457,0.674,1.59
1987,scandens,2.173,0.49,1.523
1988,scandens,2.173,0.49,1.523
1989,scandens,2.208,0.539,1.557
1990,scandens,2.281,0.533,1.562
1991,scandens,1.889,0.381,1.39
1992,scandens,1.565,0.229,1.324
1993,scandens,1.769,0.393,1.333
1994,scandens,1.755,0.399,1.323
1995,scandens,1.924,0.403,1.341
1996,scandens,1.981,0.471,1.306
1997,scandens,2.047,0.546,1.274
1998,scandens,1.63,0.32,1.244
1999,scandens,1.273,0.154,1.14
2000,scandens,1.226,0.123,0.968
2001,scandens,1.212,0.012,1.109
2002,scandens,1.15,0.133,1.123
2003,scandens,1.162,0.115,1.135
2004,scandens,1.54,0.28,1.146
2005,scandens,1.222,0.102,0.963
2006,scandens,1.261,0.125,0.949
2007,scandens,1.571,0.363,0.934
2008,scandens,1.411,0.35,1
2009,scandens,1.44,0.363,1.001
2010,scandens,1.374,0.338,0.995
2011,scandens,1.399,0.401,1.003
2012,scandens,1.515,0.576,0.982
,,,,
, ,,,
, , ,,
