year,species,weight,beak length,beak depth
1973,fortis,16.37,10.76,9.48
1974,fortis,16.49,10.72,9.42
1975,fortis,15.91,10.57,9.19
1976,fortis,15.95,10.64,9.23
1977,fortis,16.26,10.73,9.35
1978,fortis,17.2,11.04,9.74
1979,fortis,17.3,11.07,9.78
1980,fortis,17.37,11.11,9.81
1981,fortis,17.36,11.04,9.75
1982,fortis,17.43,11.06,9.8
1983,fortis,17.36,11.03,9.71
1984,fortis,17.21,10.93,9.66
1985,fortis,17.05,10.91,9.62
1986,fortis,16.8,10.91,9.48
1987,fortis,16.45,10.93,9.31
1988,fortis,16.45,10.93,9.31
1989,fortis,16.4,10.91,9.28
1990,fortis,16.31,10.89,9.26
1991,fortis,15.96,10.83,9.21
1992,fortis,15.84,10.82,9.19
1993,fortis,15.93,10.82,9.18
1994,fortis,16,10.84,9.2
1995,fortis,15.92,10.74,9.1
1996,fortis,16.1,10.81,9.15
1997,fortis,16,10.77,9.12
1998,fortis,15.91,10.84,9.11
1999,fortis,15.94,10.89,9.14
2000,fortis,16,10.92,9.18
2001,fortis,15.71,10.75,9.02
2002,fortis,15.88,10.78,9.07
2003,fortis,15.96,10.85,9.12
2004,fortis,16.47,10.94,9.19
2005,fortis,15.14,10.34,8.68
2006,fortis,15.07,10.31,8.63
2007,fortis,15.14,10.32,8.62
2008,fortis,15.08,10.28,8.57
2009,fortis,15.07,10.28,8.51
2010,fortis,15.08,10.42,8.52
2011,fortis,15.08,10.46,8.57
2012,fortis,15.1,10.51,8.65
1973,magnirostris,.,.,.
1974,magnirostris,.,.,.
1975,magnirostris,.,.,.
1976,magnirostris,.,.,.
1977,magnirostris,.,.,.
1978,magnirostris,.,.,.
1979,magnirostris,.,.,.
1980,magnirostris,.,.,.
1981,magnirostris,.,.,.
1982,magnirostris,.,.,.
1983,magnirostris,.,.,.
1984,magnirostris,.,.,.
1985,magnirostris,.,.,.
1986,magnirostris,.,.,.
1987,magnirostris,.,.,.
1988,magnirostris,.,.,.
1989,magnirostris,.,.,.
1990,magnirostris,.,.,.
1991,magnirostris,.,.,.
1992,magnirostris,29.72,15.52,16.88
1993,magnirostris,29.92,15.25,16.53
1994,magnirostris,29.67,15.23,16.51
1995,magnirostris,29.89,15.51,16.87
1996,magnirostris,29.69,15.51,16.86
1997,magnirostris,29.06,15.44,16.73
1998,magnirostris,29.27,15.41,16.92
1999,magnirostris,29.53,15.21,16.75
2000,magnirostris,29.45,15.17,16.68
2001,magnirostris,29.93,15.33,16.89
2002,magnirostris,29.73,15.33,16.87
2003,magnirostris,29.47,15.28,16.84
2004,magnirostris,29.35,15.28,16.92
2005,magnirostris,30.56,15.27,17.33
2006,magnirostris,29.78,14.92,16.81
2007,magnirostris,30.31,15.40,17.36
2008,magnirostris,29.87,15.42,17.39
2009,magnirostris,29.96,15.55,17.44
2010,magnirostris,29.66,15.48,17.30
2011,magnirostris,29.63,15.56,17.34
2012,magnirostris,29.47,15.59,17.44
1973,scandens,20.95,14.55,9.28
1974,scandens,20.74,14.57,9.21
1975,scandens,19.59,14.14,8.94
1976,scandens,19.87,14.41,9.06
1977,scandens,20.11,14.55,9.14
1978,scandens,20.82,14.52,9.35
1979,scandens,20.87,14.48,9.26
1980,scandens,21.12,14.61,9.31
1981,scandens,20.7,14.44,9.23
1982,scandens,20.78,14.45,9.25
1983,scandens,20.88,14.36,9.16
1984,scandens,20.64,14.25,9.1
1985,scandens,20.6,14.23,9.07
1986,scandens,21.06,14.4,9.22
1987,scandens,20.45,14.2,9.14
1988,scandens,20.45,14.2,9.14
1989,scandens,20.55,14.27,9.14
1990,scandens,20.56,14.28,9.14
1991,scandens,19.71,13.93,9.07
1992,scandens,19.2,13.75,9.01
1993,scandens,19.61,13.85,9.09
1994,scandens,19.58,13.84,9.1
1995,scandens,19.76,13.87,9.12
1996,scandens,19.87,13.85,9.15
1997,scandens,19.99,13.84,9.19
1998,scandens,19.5,13.68,9.07
1999,scandens,18.91,13.43,9.02
2000,scandens,19.13,13.15,9.08
2001,scandens,18.53,13.31,8.91
2002,scandens,18.4,13.39,9.01
2003,scandens,18.4,13.4,9.01
2004,scandens,18.95,13.51,9.09
2005,scandens,18.5,13.13,9.02
2006,scandens,18.52,13.12,9.03
2007,scandens,18.99,13.22,9.13
2008,scandens,19.06,13.31,9.08
2009,scandens,19.07,13.33,9.08
2010,scandens,19.03,13.3,9.07
2011,scandens,18.98,13.35,9.1
2012,scandens,19.06,13.41,9.19
,,,,
,,,,
, ,,,
, ,,,
, ,,,
