Species and time,PC1,PC2,Species and time,PC1,PC2,Species and time,PC1,PC2,Species and time,PC1,PC2,Species and time,PC1,PC2,Species and time,PC1,PC2
fortis early,-2.289962556,-0.101150033,fortis late,-1.630852891,-0.253030838,magnirostris early,-1.146817483,2.758761152,magnirostris late,-1.907491747,1.424323403,scandens early,-0.243338884,0.45778811,scandens late,-0.287249398,-1.004907213
fortis early,-2.105904451,-0.094465791,fortis late,-1.578886524,-0.316185264,magnirostris early,-0.845065283,2.194161372,magnirostris late,-1.688362369,1.051318602,scandens early,0.189733592,1.387797566,scandens late,-0.162957209,-0.58857647
fortis early,-2.098260635,-0.228442989,fortis late,-1.445736401,-0.237718923,magnirostris early,-0.594540735,1.230628655,magnirostris late,-1.352038054,1.576680213,scandens early,0.299405646,0.597454564,scandens late,-0.001567589,-0.299140342
fortis early,-1.835890187,1.299991936,fortis late,-1.440177644,-0.285609968,magnirostris early,0.844181068,3.716005819,magnirostris late,-1.294641688,1.349910015,scandens early,0.323558365,0.473406537,scandens late,0.158251673,-0.716786308
fortis early,-1.829858779,-0.076578633,fortis late,-1.435286393,-0.323619176,,,,magnirostris late,-1.288575426,1.395617943,scandens early,0.442094348,1.420914584,scandens late,0.199808968,-1.519103149
fortis early,-1.797049601,0.34287186,fortis late,-1.378353698,-0.63123286,,,,magnirostris late,-1.189333352,1.47045887,scandens early,0.46427177,-0.682577161,scandens late,0.248293971,-1.088041802
fortis early,-1.765216182,0.34908006,fortis late,-1.358136628,-0.182608135,,,,magnirostris late,-1.181774702,1.52447909,scandens early,0.466900846,0.973510503,scandens late,0.623652392,-0.362753112
fortis early,-1.744046239,0.167766428,fortis late,-1.315183453,-1.154048089,,,,magnirostris late,-1.09049913,1.308694984,scandens early,0.625469298,-0.327519528,scandens late,0.733802897,-0.103940012
fortis early,-1.670118875,0.039110295,fortis late,-1.295593365,-0.910631013,,,,magnirostris late,-1.032643738,1.305963376,scandens early,0.835552376,-0.122846261,scandens late,0.772986704,-0.680836498
fortis early,-1.65249809,0.166759623,fortis late,-1.165326502,-0.235532185,,,,magnirostris late,-1.017956555,1.420580891,scandens early,0.835696398,-0.371174282,scandens late,0.777548614,-0.713154244
fortis early,-1.649635161,0.02372755,fortis late,-1.160860367,-0.270100211,,,,magnirostris late,-1.000829661,1.54595456,scandens early,0.836753504,2.427329847,scandens late,0.838343326,-0.072659198
