TOTAL,Tribulus,O. seed or fruit,O.bud or flower,SSOG,SS on plant,Others,Sample size
,,,,,,,
fortis,3,6,42,68,71,22,190
BB,13,2,10,0,2,0,27
magnirostris,61,16,2,0,0,5,84
scandens,0,43,88,7,6,6,140
,,,,,,,
,,,,,,,
FREQUENCIES,Tribulus,O. seed or fruit,O.bud or flower,SSOG,SS on plant,Others,Sample size
,,,,,,,
fortis,0.015,0.031,0.221,0.358,0.374,0.116,190
BB,0.481,0.074,0.37,0,0.074,0,27
magnirostris,0.726,0.19,0.024,0,0,0.06,84
scandens,0,0.307,0.629,0.05,0.043,0.043,140
,,,,,,,
,,,,,,,
 ,,,,,,,
,,,,,,,
 , ,,,,,,
 , ,,,,,,
 ,,,,,,,
 ,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
 ,,,,,,,
