Years,reading,¶18O
0,780,0.078
10,530,0.053
20,594,0.0594
30,595,0.0595
40,549,0.0549
50,540,0.054
60,529,0.0529
70,520,0.052
80,512,0.0512
90,499,0.0499
100,514,0.0514
110,499,0.0499
120,485,0.0485
130,482,0.0482
140,483,0.0483
150,479,0.0479
160,480,0.048
170,474,0.0474
180,470,0.047
190,470,0.047
200,474,0.0474
210,470,0.047
220,470,0.047
230,473,0.0473
240,472,0.0472
250,468,0.0468
260,472,0.0472
270,468,0.0468
280,474,0.0474
290,471,0.0471
300,471,0.0471
310,470,0.047
320,469,0.0469
330,466,0.0466
340,474,0.0474
350,473,0.0473
360,470,0.047
370,470,0.047
