Year,SC ln cum mean rain,SC ln cum SD rain,Daphne ln cum mean rain,Daphne ln cum SD rain
1969,5.716108092,0.563608555,.,.
1970,5.478499983,0.769980105,.,.
1971,5.487466206,0.703292652,.,.
1972,5.612493433,0.740955419,.,.
1973,5.673461643,0.716827853,.,.
1974,5.626516147,0.691944645,.,.
1975,5.734618315,0.747967591,.,.
1976,5.776430921,0.727719351,.,.
1977,5.758341123,0.699784464,.,.
1978,5.775171145,0.67527379,.,.
1979,5.737093514,0.667212283,.,.
1980,5.724854141,0.64644483,4.241541591,0.72551009
1981,5.735150801,0.627355638,4.249694566,0.64922318
1982,5.776958202,0.633944065,4.204284718,0.604712048
1983,5.890173328,0.789362883,4.58056218,1.202545203
1984,5.844844993,0.794602109,4.512754373,1.143123652
1985,5.770826633,0.845503374,4.200108372,1.462537006
1986,5.766550595,0.825370524,4.172082183,1.390594544
1987,5.825555908,0.854604368,4.360487009,1.477807153
1988,5.761593555,0.892626864,4.025064931,1.86132339
1989,5.70274819,0.922037343,3.836581319,1.922339165
1990,5.701748406,0.90342279,3.838889299,1.852433937
1991,5.721549191,0.891833727,3.92852119,1.825181107
1992,5.757644245,0.895761814,4.011686664,1.800183637
1993,5.786451151,0.893195257,4.091888578,1.779274079
1994,5.767036336,0.884078928,4.083464213,1.729533462
1995,5.767874313,0.869231922,4.088773739,1.683571713
1996,5.750253449,0.860887293,3.927077236,1.800487147
1997,5.80035699,0.894879183,4.01712295,1.807142994
1998,5.84942041,0.926491918,4.139271744,1.860239083
1999,5.824682873,0.924423436,4.108518646,1.82557702
2000,5.807441868,0.916975359,4.10065882,1.787571556
2001,5.803909758,0.904405131,4.118493027,1.753814448
2002,5.818804264,0.896812176,4.15930276,1.732780811
2003,5.803040224,0.890392452,4.109777259,1.720465709
2004,5.782554383,0.88840156,4.07905652,1.697544415
2005,5.768443464,0.881867189,4.102947654,1.673144688
2006,5.749756873,0.879424597,4.076911822,1.65139734
2007,5.741368846,0.870631419,4.102331738,1.630895242
2008,5.761819149,0.871075563,4.139321988,1.619213738
2009,5.753535873,0.862910989,4.148243437,1.59533983
2010,5.764159512,0.856306023,4.176793466,1.580753512
2011,.,.,4.225849186,1.585566333
2012,.,.,.,.
,,,,
, , ,,
, ,,,
, , ,,
