Year,fortis nos,scandens nos,ln fortis cum mean nos,ln fortis cum SD,ln scandens cum mean nos,ln scandens cum SD
1976,490,185,.,.,.,.
1977,210,146,.,.,.,.
1978,157,132,.,.,.,.
1979,295,190,.,.,.,.
1980,280,197,5.583904737,0.424388011,5.123398434,0.17864084
1981,225,180,5.555937348,0.385716471,5.134991504,0.162285043
1982,340,241,5.594938529,0.366917759,5.184963708,0.198563787
1983,279,234,5.599472686,0.33994183,5.218758384,0.20719968
1984,700,476,5.705206869,0.449146801,5.323942769,0.370322885
1985,601,295,5.774545676,0.476861394,5.360246028,0.367533174
1986,285,101,5.763449631,0.453884847,5.292507345,0.414784753
1987,233,83,5.737415366,0.442059426,5.219701784,0.469056081
1988,939,158,5.82259999,0.522939085,5.207616649,0.451195962
1989,621,117,5.866080782,0.52810757,5.175799312,0.449545066
1990,449,97,5.882143589,0.512685629,5.135726757,0.460155254
1991,301,73,5.871204007,0.497230573,5.08289755,0.492220956
1992,750,137,5.915255136,0.514562325,5.073314219,0.478226057
1993,1718,227,6.000458523,0.616338001,5.092849541,0.471292403
1994,2531,248,6.09708543,0.732234202,5.114985289,0.46806683
1995,907,154,6.132738281,0.730321936,5.111083654,0.455916813
1996,489,165,6.135577529,0.711948672,5.110838979,0.444374156
1997,202,86,6.097972537,0.716829953,5.080998448,0.455691995
1998,613,145,6.111902641,0.703528025,5.0764652,0.445745421
1999,1495,226,6.161818426,0.73022606,5.090801441,0.44156879
2000,884,84,6.186723972,0.725616519,5.064402056,0.451975546
2001,665,115,6.198764859,0.713602212,5.052114751,0.447253891
2002,830,169,6.218122668,0.706937047,5.054995638,0.438823923
2003,1262,307,6.251063039,0.715284743,5.078990357,0.448949048
2004,235,159,6.22377071,0.717607795,5.078642558,0.440863192
2005,71,50,6.158401016,0.790822092,5.03975524,0.482726609
2006,443,170,6.156309685,0.777617202,5.042853407,0.474926349
2007,495,140,6.157817438,0.765019724,5.039690564,0.467545915
2008,521,180,6.160785092,0.75316438,5.044334997,0.460955305
2009,850,400,6.177974835,0.748407347,5.072191749,0.482104723
2010,300,312,6.164426482,0.7416631,5.09135779,0.488309057
2011,580,388,6.169943194,0.731740161,5.115514666,0.50263403
2012,991,573,6.189639717,0.731385322,5.148903073,0.535602684
,,,,,,
, , ,,,,
, , ,,,,
, , , ,,,
, , ,,,,
