Years,Species,N,Y frequency,95% CI,Years,Species,N,Y frequency,95% CI,Years,Species,N,Y frequency,95% CI
1978,fortis,136,0.15,0.07,1978,scandens,99,0.25,0.09,1987,magnirostris,26,0.23,0.18
1979,fortis,148,0.14,0.06,1979,scandens,131,0.27,0.08,1988,magnirostris,,,
1980,fortis,136,0.14,0.06,1980,scandens,228,0.25,0.06,1989,magnirostris,,,
1981,fortis,350,0.15,0.06,1981,scandens,269,0.28,0.05,1990,magnirostris,,,
1982,fortis,174,0.16,0.06,1982,scandens,132,0.23,0.07,1991,magnirostris,41,0.15,0.14
1983,fortis,1133,0.16,0.05,1983,scandens,827,0.31,0.03,1992,magnirostris,28,0.14,0.17
1984,fortis,985,0.16,0.02,1984,scandens,571,0.3,0.04,1993,magnirostris,20,0.2,0.2
1985,fortis,483,0.15,0.02,1985,scandens,230,0.33,0.06,1994,magnirostris,,,
1986,fortis,277,0.15,0.03,1986,scandens,81,0.28,0.1,1995,magnirostris,,,
1987,fortis,1240,0.16,0.04,1987,scandens,228,0.27,0.06,1996,magnirostris,,,
1988,fortis,854,0.15,0.02,1988,scandens,136,0.29,0.08,1997,magnirostris,,,
1989,fortis,569,0.14,0.02,1989,scandens,99,0.27,0.09,1998,magnirostris,107,0.33,0.02
1990,fortis,445,0.13,0.03,1990,scandens,92,0.27,0.09,1999,magnirostris,43,0.33,0.14
1991,fortis,1039,0.13,0.03,1991,scandens,208,0.25,0.06,2000,magnirostris,25,0.36,0.18
1992,fortis,818,0.12,0.02,1992,scandens,145,0.3,0.08,2001,magnirostris,22,0.32,0.19
1993,fortis,655,0.15,0.02,1993,scandens,117,0.29,0.08,2002,magnirostris,20,0.35,0.2
1994,fortis,524,0.16,0.03,1994,scandens,101,0.28,0.09,2003,magnirostris,,,
1995,fortis,221,0.15,0.03,1995,scandens,101,0.37,0.09,2004,magnirostris,,,
1996,fortis,126,0.17,0.07,1996,scandens,58,0.24,0.11,2005,magnirostris,,,
1997,fortis,55,0.11,0.08,1997,scandens,47,0.32,0.14,2006,magnirostris,,,
1998,fortis,214,0.12,0.04,1998,scandens,139,0.36,0.08,2007,magnirostris,,,
1999,fortis,90,0.09,0.06,1999,scandens,57,0.28,0.12,2008,magnirostris,,,
,,,,,,,,,,2009,magnirostris,28,0.75,0.17
,,,,,,,,,,2010,magnirostris,,,
,,,,,,,,,,2011,magnirostris,23,0.61,0.19
,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
 , ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
