Years,Species,Sample size,Y frequency,95% CI
1978,magnirostris,26,0.23,0.18
1979,magnirostris,.,.,.
1980,magnirostris,.,.,.
1981,magnirostris,.,.,.
1982,magnirostris,41,0.15,0.14
1983,magnirostris,28,0.14,0.17
1984,magnirostris,20,0.2,0.2
1985,magnirostris,.,.,.
1986,magnirostris,.,.,.
1987,magnirostris,.,.,.
1988,magnirostris,.,.,.
1989,magnirostris,107,0.33,0.02
1990,magnirostris,43,0.33,0.14
1991,magnirostris,25,0.36,0.18
1992,magnirostris,22,0.32,0.19
1993,magnirostris,20,0.35,0.2
1994,magnirostris,.,.,.
1995,magnirostris,.,.,.
1996,magnirostris,.,.,.
1997,magnirostris,.,.,.
1998,magnirostris,.,.,.
1999,magnirostris,.,.,.
2009,magnirostris,28,0.75,0.17
2010,magnirostris,.,.,.
2011,magnirostris,23,0.61,0.19
 ,,,,
 ,,,,
 , ,,,
