Island,Species,Beak length,Beak width
Española,fuliginosa,8.39,6.58
Gardner E,fuliginosa,8.3,6.58
Floreana,fuliginosa,8.33,6.54
Gardner F,fuliginosa,8.66,6.8
Enderby,fuliginosa,7.89,6.57
S. Cristóbal,fuliginosa,8.53,6.46
Santa Fe,fuliginosa,8.49,6.53
Santa Cruz,fuliginosa,8.18,6.48
Baltra,fuliginosa,8.29,6.57
Bartolomé,fuliginosa,8.1,6.6
Santiago,fuliginosa,8.14,6.47
Rábida,fuliginosa,8.19,6.51
Pinzón,fuliginosa,8.32,6.57
Hermanos,fuliginosa,9,7.18
Tortuga,fuliginosa,8.59,6.85
Isabela,fuliginosa,8.04,6.53
Fernandina,fuliginosa,7.76,6.46
Marchena,fuliginosa,7.78,5.77
Pinta,fuliginosa,8.02,6.28
Floreana,fortis,11.26,9.56
S. Cristóbal,fortis,11.96,10.21
Santa Fe,fortis,12.3,10.91
Santa Cruz,fortis,11.66,9.96
Baltra,fortis,11.22,9.62
Daphne,fortis,10.26,8.17
Santiago,fortis,11.16,9.56
Rábida,fortis,11.27,9.84
Pinzón,fortis,10.68,8.73
Isabela,fortis,11.55,9.92
Fernandina,fortis,11.24,9.36
Marchena,fortis,11.36,9.17
Pinta,fortis,10.93,9.04
Santa Cruz,magnirostris,14.94,14.56
Santiago,magnirostris,15.55,15.07
Rábida,magnirostris,15.11,13.73
Isabela,magnirostris,14.67,13.69
Genovesa,magnirostris,16.07,15.87
Marchena,magnirostris,14.96,14.32
Pinta,magnirostris,15.78,15.24
Wolf,magnirostris,15.36,14.86
Darwin,magnirostris,14.69,12.56
Floreana,magnirostris,17.98,17.43
Floreana,scandens,13.39,7.77
S. Cristóbal,scandens,13.02,7.72
Santa Fe,scandens,14.08,8.08
Santa Cruz,scandens,14.53,7.9
Baltra,scandens,14.47,7.84
Santiago,scandens,12.68,7.25
Rábida,scandens,13.15,7.56
Pinzón,scandens,14.36,8.14
Isabela,scandens,14.06,7.9
Marchena,scandens,14.9,8.69
Pinta,scandens,14.27,8.07
,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
 ,,,
